idx,Country,Points,Year,Discipline
589,NZL,0,2017,Speed
590,PAK,0,2017,Speed
591,POL,1013,2017,Speed
592,RSA,0,2017,Speed
593,RUS,3464.75,2017,Speed
594,SGP,0,2017,Speed
595,SLO,0,2017,Speed
596,SRB,0,2017,Speed
597,SUI,28.55,2017,Speed
598,SWE,1.35,2017,Speed
599,THA,0,2017,Speed
600,TPE,0,2017,Speed
601,UKR,609.15,2017,Speed
602,USA,142.45,2017,Speed
603,ARG,0.65,2018,Speed
604,AUS,15,2018,Speed
605,AUT,140.3,2018,Speed
606,AZE,0,2018,Speed
607,BEL,9.05,2018,Speed
608,BRA,0,2018,Speed
609,BUL,0,2018,Speed
610,CAN,8,2018,Speed
611,CHI,1,2018,Speed
612,CHN,1261.87,2018,Speed
613,CZE,169.4,2018,Speed
614,DEN,0,2018,Speed
615,ECU,102.67,2018,Speed
616,ESP,0,2018,Speed
617,FRA,1774.44,2018,Speed
618,GBR,0,2018,Speed
619,GER,4.15,2018,Speed
620,HKG,0.6,2018,Speed
621,INA,2356,2018,Speed
622,IRI,467.85,2018,Speed
623,ITA,812,2018,Speed
624,JPN,71.94,2018,Speed
625,KAZ,63.67,2018,Speed
626,KOR,3.85,2018,Speed
627,MGL,0,2018,Speed
628,NZL,0.6,2018,Speed
629,PAK,0,2018,Speed
630,POL,1036.92,2018,Speed
631,RSA,0,2018,Speed
632,RUS,3769.32,2018,Speed
633,SGP,10.75,2018,Speed
634,SLO,9.6,2018,Speed
635,SRB,6.7,2018,Speed
636,SUI,12.62,2018,Speed
637,SWE,0,2018,Speed
638,THA,1.35,2018,Speed
639,TPE,9.5,2018,Speed
640,UKR,720.62,2018,Speed
641,USA,181.89,2018,Speed
642,ARG,1.65,2019,Speed
643,AUS,5.95,2019,Speed
644,AUT,78.25,2019,Speed
645,AZE,0,2019,Speed
646,BEL,1.85,2019,Speed
647,BRA,0.55,2019,Speed
648,BUL,0,2019,Speed
649,CAN,15,2019,Speed
650,CHI,1.05,2019,Speed
651,CHN,1898.15,2019,Speed
652,CZE,162,2019,Speed
653,DEN,0,2019,Speed
654,ECU,205.65,2019,Speed
655,ESP,18,2019,Speed
656,FRA,1094.65,2019,Speed
657,GBR,3.65,2019,Speed
658,GER,26.8,2019,Speed
659,HKG,9.95,2019,Speed
660,INA,1004,2019,Speed
661,IRI,259.35,2019,Speed
662,ITA,254.05,2019,Speed
663,JPN,92.55,2019,Speed
664,KAZ,133.95,2019,Speed
665,KOR,131,2019,Speed
666,MGL,0,2019,Speed
667,NZL,0,2019,Speed
668,PAK,0,2019,Speed
669,POL,1015,2019,Speed
670,RSA,0,2019,Speed
671,RUS,2798.25,2019,Speed
672,SGP,0,2019,Speed
673,SLO,10.2,2019,Speed
674,SRB,0,2019,Speed
675,SUI,3.5,2019,Speed
676,SWE,0,2019,Speed
677,THA,0,2019,Speed
678,TPE,26.95,2019,Speed
679,UKR,328.55,2019,Speed
680,USA,108.85,2019,Speed
681,ARG,0.7,2021,Speed
682,AUS,0,2021,Speed
683,AUT,101.8,2021,Speed
684,AZE,0,2021,Speed
685,BEL,0,2021,Speed
686,BRA,0,2021,Speed
687,BUL,0,2021,Speed
688,CAN,16.85,2021,Speed
689,CHI,16.95,2021,Speed
690,CHN,0,2021,Speed
691,CZE,19.25,2021,Speed
692,DEN,0.7,2021,Speed
693,ECU,30.65,2021,Speed
694,ESP,15.95,2021,Speed
695,FRA,362,2021,Speed
696,GBR,0,2021,Speed
697,GER,85.85,2021,Speed
698,HKG,0,2021,Speed
699,INA,555,2021,Speed
700,IRI,79.5,2021,Speed
701,ITA,132.5,2021,Speed
702,JPN,141.15,2021,Speed
703,KAZ,64.1,2021,Speed
704,KOR,0,2021,Speed
705,MGL,0,2021,Speed
706,NZL,0,2021,Speed
707,PAK,0,2021,Speed
708,POL,447,2021,Speed
709,RSA,18,2021,Speed
710,RUS,488.25,2021,Speed
711,SGP,0,2021,Speed
712,SLO,48.85,2021,Speed
713,SRB,0,2021,Speed
714,SUI,18,2021,Speed
715,SWE,0,2021,Speed
716,THA,0,2021,Speed
717,TPE,0,2021,Speed
718,UKR,130,2021,Speed
719,USA,498.65,2021,Speed
